ESTADO ,Latitud,Longitud,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020, 25.03.2020, 26.03.2020, 27.03.2020, 28.03.2020, 29.03.2020,30.03.2020,31.03.2020,01.04.2020,02.04.2020,03.04.2020,04.04.2020,05.04.2020,06.04.2020,07.04.2020,08.04.2020,09.04.2020,10.04.2020,11.04.2020,12.04.2020,13.04.2020,14.04.2020
Aguascalientes,21.8823395,-102.2825928,0,0,0,1,1,1,1,4,4,4,4,4,7,12,13,19,19,24,24,36,36,47,48,49,49,49,53,53,53,53,55,55,55,65
Baja California,32.6469,-115.446,0,0,0,0,0,0,2,2,4,8,11,13,13,14,19,20,20,23,27,35,37,40,52,54,69,111,136,225,239,258,278,335,368,412
Baja California Sur ,24.1443691,-110.300499,0,0,0,0,0,0,0,0,0,1,1,2,2,5,7,9,9,11 ,13,17,18,19,21,27,28,54,56,68,68,85,102,120,153,164
Campeche,19.8438606,-90.5255432,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,3,3,5,5,5,6,8,8,9,14,14,14,15,18,19,29,33
Coahuila,25.4232101,-101.0053024,1,1,1,1,1,1,1,1,1,3,10,12,12,12,13,14,15,32,39,44,57,62,70,72,82,102,109,122,129,143,156,157,176,194
Ciudad de México,19.4284706,-99.1276627,5,11,17,18,21,22,24,31,31,45,56,60,65,81,82,107,177,196,205,234,296,327,384,469,560,609,723,855,909,1040,"1,117","1,328","1,437","1,556"
Chiapas,16.7597294,-93.1130829,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,7,7,10,11,13,14,15,18,19,25,26,28,32,34,38,39,43,43,45
Chihuahua,28.6352806,-106.0888901,0,0,0,0,0,1,1,1,2,2,5,5,6,6,6,6,6,6,6,7,11,11,12,13,15,22,22,29,42,54,54,61,67,69
Colima,19.2433,-103.725,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,5,7,7,7,7,7,7,7
Durango,24.0277,-104.653,1,1,1,1,3,3,3,3,4,5,5,5,5,5,5,7,7,7,7,7,7,8,8,10,12,12,15,15,16,16,16,16,16,15
Estado de México,19.2878609,-99.6532364,1,1,3,4,9,9,10,10,14,14,22,22,22,26,46,70,85,119,136,149,157,171,177,180,204,261,320,354,399,470,498,523,558,602
Guanajuato,21.0181,-101.258,0,0,0,0,0,1,4,4,4,4,4,7,12,19,23,31,37,37,43,46,49,50,52,53,53,58,61,67,71,78,81,82,88,90
Guerrero,17.5506001,-99.5057831,0,0,0,0,2,2,2,4,4,4,4,5,6,7,7,7,10,13,13,15,17,22,24,25,30,32,37,47,49,54,56,70,77,88
Hidalgo,20.1169701,-98.7332916,0,0,0,0,0,0,0,2,2,3,5,7,7,7,12,12,12,17,17,19,21,26,30,32,34,35,41,46,47,51,53,58,58,64
Jalisco,20.6668205,-103.3918228,0,0,2,2,2,5,6,22,28,32,40,45,45,45,64,77,82,83,90,94,99,104,116,120,123,126,135,139,139,144,150,156,159,165
Michoacán,19.7007809,-101.184433,0,0,0,0,0,0,0,0,0,0,3,7,8,10,11,16,17,17,17,21,24,24,24,29,30,33,34,36,46,46,50,61,62,67
Morelos,18.9260998,-99.230751,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,6,6,7,9,9,12,14,15,17,24,26,35,35,40,44,49,53
Nayarit,21.50951,-104.8956909,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,5,5,5,6,6,8,8,8,9,9,10,10,12,16,19,21,22,25,25
Nuevo León,25.6750698,-100.3184662,1,1,3,5,13,14,19,19,29,32,35,40,52,52,57,64,64,67,75,76,78,84,85,88,91,93,93,98,107,110,119,124,132,136
Oaxaca,17.0654202,-96.7236481,0,0,2,2,2,2,2,2,2,2,3,4,4,7,8,11,12,14,14,14,22,22,22,22,25,27,35,37,40,41,43,43,44,46
Puebla,19.0379295,-98.2034607,0,1,3,5,8,8,9,11,14,16,16,16,22,34,45,51,52,66,76,81,97,100,109,125,147,156,179,183,198,214,243,256,269,276
Querétaro,20.5880604,-100.3880615,2,4,5,6,7,7,7,9,11,14,14,16,18,18,20,22,24,25,26,28,29,32,35,36,38,40,45,47,50,55,57,61,61,65
Quintana Roo,18.51413,-88.30381,0,1,1,1,4,4,6,6,11,12,12,21,22,22,29,29,33,38,43,47,51,56,65,75,86,115,135,143,159,163,216,223,239,245
