Centro,Especie,Codigo,AB,DTr,Alt,DCop,ExcCop
CUCOSTA,Pithecellobium dulce,C10-3-1,13.21,41,9.8,15.4,0.3
CUCOSTA,Acacia macracantha,C10-3-10,1.91,15.6,4.4,4.7,0.63
CUCOSTA,Pithecellobium lanceolatum,C10-3-100,0.95,11,6.4,9.5,0.91
CUCOSTA,Salix bonplandiana,C10-3-1000,0.83,10.3,7.7,4.9,0.2
CUCOSTA,Tabebuia rosea,C10-3-1001,0.28,6,2.4,2,0.63
CUCOSTA,Pithecellobium lanceolatum,C10-3-1002,0.51,8.1,4.1,4.3,0.71
CUCOSTA,Pithecellobium lanceolatum,C10-3-1003,1.05,11.6,4.4,5.2,0.84
CUCOSTA,Pithecellobium lanceolatum,C10-3-1004,0.64,9,4.5,4.3,0.84
CUCOSTA,Tabebuia rosea,C10-3-1005,0.28,6,4.3,2.5,0.75
CUCOSTA,Salix bonplandiana,C10-3-1006,1.96,15.8,11.6,5.1,0.42
CUCOSTA,Salix bonplandiana,C10-3-1007,1.54,14,7.7,4.7,0
CUCOSTA,Salix bonplandiana,C10-3-1008,0.64,9,8.7,4.5,0.72
CUCOSTA,Salix bonplandiana,C10-3-1009,1.13,12,7.8,5.4,0.8
CUCOSTA,Pithecellobium lanceolatum,C10-3-101,0.24,5.5,6.9,4.3,0.46
CUCOSTA,Pithecellobium lanceolatum,C10-3-1010,0.5,8,2.4,5.5,0.41
CUCOSTA,Pithecellobium lanceolatum,C10-3-1011,1.17,12.2,3.2,4.8,0.79
CUCOSTA,Tabebuia rosea,C10-3-1012,14.53,43,21.6,10.4,0.78
CUCOSTA,Terminalia catappa,C10-3-1013,2.22,16.8,4.5,5.5,0.62
CUCOSTA,Terminalia catappa,C10-3-1014,2.27,17,8.5,6.3,0.63
CUCOSTA,Terminalia catappa,C10-3-1015,1.24,12.6,5.8,6.6,0.3
CUCOSTA,Enterolobium cyclocarpum,C10-3-1016,18.76,48.9,13.2,17,0.71
CUCOSTA,Guazuma ulmifolia,C10-3-1017,1.16,12.2,4.6,3.8,0.8
CUCOSTA,Guazuma ulmifolia,C10-3-1018,0.85,10.4,2.4,4.1,0
CUCOSTA,Guazuma ulmifolia,C10-3-1019,1.27,12.7,4.3,3.4,0.84
CUCOSTA,Guazuma ulmifolia,C10-3-102,1.03,11.5,4.7,7.3,0.87
CUCOSTA,Guazuma ulmifolia,C10-3-1020,0.21,5.2,3.1,3.3,0.62
CUCOSTA,Guazuma ulmifolia,C10-3-1021,0.3,6.2,2.9,3.6,0.91
CUCOSTA,Guazuma ulmifolia,C10-3-1022,0.35,6.7,2.8,4.2,0.5
CUCOSTA,Salix bonplandiana,C10-3-1023,15.9,45,14.1,8,0.97
CUCOSTA,Pithecellobium lanceolatum,C10-3-1024,8.55,33,8.6,9.9,0.77
CUCOSTA,Pithecellobium lanceolatum,C10-3-1025,0.77,9.9,3.6,4.3,0.49
CUCOSTA,Delonix regia,C10-3-1026,0.45,7.6,5.5,2.5,0.75
