NUMERO_DE_,PENE,PFEB,PMAR,PABR,PMAY,PJUN,PJUL,PAGO,PSEP,POCT,PNOV,PDIC,PANNUAL
00001003,13.70,6.30,0.70,3.50,14.30,87.90,158.20,134.40,91.10,35.00,15.10,13.00,573.20
00001004,19.50,6.70,1.90,8.70,22.30,69.50,121.10,102.70,74.20,35.40,9.50,10.00,481.50
00001005,16.40,5.50,1.50,6.60,17.70,72.00,141.70,119.70,84.00,35.30,11.30,11.50,523.20
00001006,13.80,5.60,2.30,6.60,26.00,59.20,114.70,85.40,63.00,28.50,10.90,10.70,426.70
00001007,15.00,5.00,1.80,6.00,26.50,69.10,127.70,113.90,51.90,37.10,19.20,14.10,487.30
00001008,26.40,8.90,3.50,9.70,22.20,77.30,154.10,113.80,83.10,45.10,12.00,13.00,569.10
00001009,16.40,4.70,0.90,3.50,18.50,78.20,155.20,165.20,91.20,40.50,13.50,15.20,603.00
00001010,27.40,10.20,4.10,7.50,31.10,104.40,156.10,132.80,102.90,45.00,16.00,15.00,652.50
00001011,15.60,5.80,4.60,7.00,21.10,83.40,136.10,124.80,86.80,38.00,11.00,11.20,545.40
00001012,18.20,4.60,1.20,5.10,18.00,107.90,170.70,154.60,91.40,35.50,12.30,12.30,631.80
00001013,19.50,5.60,2.00,8.10,13.30,51.90,95.10,80.50,48.60,28.20,9.20,11.90,373.90
00001014,18.40,5.90,2.70,5.10,22.50,58.90,121.80,92.90,63.60,35.10,9.10,11.50,447.50
00001015,17.80,5.80,2.30,9.50,26.00,70.80,121.00,110.10,61.10,39.60,10.20,11.50,485.70
00001017,19.90,5.70,3.10,7.30,23.00,77.00,121.90,102.10,68.70,38.40,11.20,12.40,490.70
00001018,18.50,4.30,2.10,4.50,27.20,81.90,117.10,100.80,68.80,34.00,8.90,10.80,478.90
00001019,18.10,4.70,1.40,5.10,23.80,70.00,112.00,98.40,68.90,34.90,11.20,10.50,459.00
00001020,19.60,5.60,1.90,5.50,20.20,86.10,146.90,137.90,95.70,41.20,13.20,12.00,585.80
00001021,20.60,7.90,4.40,5.90,24.10,79.80,135.90,117.90,88.20,43.40,11.00,12.30,551.40
00001022,14.90,4.80,2.30,6.80,23.20,78.90,127.00,123.00,77.00,36.40,11.00,11.80,517.10
00001023,17.80,6.10,1.10,6.30,18.80,91.20,160.00,144.50,96.40,38.00,14.90,10.40,605.50
00001024,14.40,4.30,2.10,5.70,20.80,67.50,113.00,110.00,76.30,38.10,10.60,8.80,471.60
00001025,17.00,5.30,1.80,4.00,23.30,48.50,98.30,91.60,81.30,28.40,16.70,13.70,429.90
00001026,17.00,5.70,2.80,6.60,20.60,51.40,121.20,93.80,63.50,30.30,9.10,10.80,432.80
00001027,18.90,6.20,1.50,7.70,21.10,83.00,125.40,117.50,93.90,37.30,12.30,11.70,536.50
00001028,19.20,5.60,2.20,6.70,24.00,67.40,108.10,99.50,71.10,33.20,10.10,11.10,458.20
00001029,21.10,5.50,6.80,11.10,25.90,47.50,109.50,75.20,59.30,28.90,9.50,10.70,411.00
00001030,15.20,4.70,1.20,6.40,19.70,69.90,115.50,115.50,76.90,31.80,8.20,10.90,475.90
00001031,18.70,5.90,1.80,11.60,22.30,76.40,127.10,103.00,67.40,36.00,11.90,10.40,492.50
00001032,16.50,6.80,0.80,7.50,20.60,78.60,110.30,91.60,61.80,28.00,8.40,12.20,443.10
00001033,18.30,6.10,2.70,9.60,18.60,62.90,122.30,109.60,55.90,36.10,9.80,10.00,461.90
00001034,13.00,3.70,0.70,4.80,13.90,51.10,112.10,89.40,54.70,31.50,6.70,9.10,390.70
00001035,13.90,5.70,1.70,4.20,16.30,48.80,120.40,106.70,60.80,36.60,13.20,11.20,439.50
00001045,20.40,6.00,1.60,6.20,16.70,56.30,116.20,89.80,61.80,38.70,9.00,9.70,432.40
00001046,20.20,2.70,0.90,5.80,16.40,85.90,147.60,110.20,76.90,39.00,14.20,8.60,528.40
00001047,23.00,8.30,3.00,6.60,22.40,89.60,148.40,118.20,86.20,45.00,16.60,12.40,579.70
00001062,22.80,7.60,1.60,8.00,22.10,78.10,139.10,123.20,77.20,36.30,9.50,15.50,541.00
00001073,18.50,7.00,1.90,7.90,19.80,67.50,126.50,116.30,75.60,42.20,11.00,12.90,507.10
00001074,20.20,4.90,0.90,2.70,15.10,80.00,127.60,106.90,72.90,29.30,7.40,11.10,479.00
00001075,19.20,5.30,1.40,7.30,16.10,76.40,131.70,110.00,74.40,35.60,9.50,11.80,498.70
00001076,21.00,6.50,1.60,9.20,21.20,70.60,111.00,106.60,72.00,32.90,9.80,12.80,475.20
00001077,20.90,6.00,1.00,7.70,26.40,92.80,152.80,119.80,91.30,39.70,11.50,12.50,582.40
00001078,27.50,8.50,2.80,6.60,17.70,110.30,170.70,143.00,88.90,46.70,16.90,11.80,651.40
00001079,21.70,5.60,1.90,7.90,13.40,67.50,122.60,101.10,73.50,29.60,9.40,16.70,470.90
00001080,22.80,4.70,1.20,7.60,23.20,87.00,135.50,112.20,83.50,40.40,8.40,10.80,537.30
00001081,17.20,3.90,2.40,7.10,11.50,51.10,77.90,61.70,42.00,26.40,8.90,6.90,317.00
